"cd_procedimento";"ano_realizacao";"cd_modalidade";"nm_modalidade";"n_procedimento";"custo_procedimento"
"001";"2023";22;Cooperativa Médica;90223.00;5836131.28
"001";"2023";24;Autogestão;24454.00;1991391.18
"001";"2023";25;Medicina De Grupo;56845.00;2161402.39
"001";"2023";27;Filantropia;3739.00;172131.32
"001";"2023";28;Seguradora Especializada Em Saúde;28788.00;2908111.40
"001";"2024";22;Cooperativa Médica;91002.00;5856119.03
"001";"2024";24;Autogestão;22852.01;1952657.13
"001";"2024";25;Medicina De Grupo;56813.00;2070548.56
"001";"2024";27;Filantropia;4899.00;266937.85
"001";"2024";28;Seguradora Especializada Em Saúde;20955.00;2125204.52
"002";"2023";22;Cooperativa Médica;13083.00;2545637.03
"002";"2023";24;Autogestão;2157.00;591079.38
"002";"2023";25;Medicina De Grupo;1444.00;462184.21
"002";"2023";27;Filantropia;98.70;15011.38
"002";"2023";28;Seguradora Especializada Em Saúde;341.00;84489.99
"002";"2024";22;Cooperativa Médica;16512.00;3162247.73
"002";"2024";24;Autogestão;1718.00;528291.80
"002";"2024";25;Medicina De Grupo;1423.00;393756.71
"002";"2024";27;Filantropia;148.00;15306.40
"002";"2024";28;Seguradora Especializada Em Saúde;227.00;57178.85
"003";"2023";22;Cooperativa Médica;2987.00;185775.21
"003";"2023";24;Autogestão;812.00;88130.96
"003";"2023";25;Medicina De Grupo;1109.00;111194.71
"003";"2023";27;Filantropia;119.00;27357.62
"003";"2023";28;Seguradora Especializada Em Saúde;602.00;38505.38
"003";"2024";22;Cooperativa Médica;3601.00;199026.88
"003";"2024";24;Autogestão;709.00;83378.96
"003";"2024";25;Medicina De Grupo;1765.00;186465.48
"003";"2024";27;Filantropia;70.00;25245.88
"003";"2024";28;Seguradora Especializada Em Saúde;467.00;37261.35
"004";"2023";22;Cooperativa Médica;86145.00;3055561.70
"004";"2023";24;Autogestão;10948.00;537541.36
"004";"2023";25;Medicina De Grupo;34659.00;1631505.06
"004";"2023";27;Filantropia;1648.00;52012.99
"004";"2023";28;Seguradora Especializada Em Saúde;17374.00;608617.99
"004";"2024";22;Cooperativa Médica;77201.00;3200029.61
"004";"2024";24;Autogestão;8026.00;394971.33
"004";"2024";25;Medicina De Grupo;41449.00;1965679.55
"004";"2024";27;Filantropia;1297.00;51720.80
"004";"2024";28;Seguradora Especializada Em Saúde;10722.00;474303.57
"005";"2023";22;Cooperativa Médica;16743.00;2144960.57
"005";"2023";24;Autogestão;6108.00;1264051.47
"005";"2023";25;Medicina De Grupo;5950.00;1183820.37
"005";"2023";27;Filantropia;948.00;172428.35
"005";"2023";28;Seguradora Especializada Em Saúde;7460.00;784672.67
"005";"2024";22;Cooperativa Médica;14927.00;1696346.96
"005";"2024";24;Autogestão;4909.00;1144705.24
"005";"2024";25;Medicina De Grupo;5773.00;1286408.27
"005";"2024";27;Filantropia;1302.00;222901.20
"005";"2024";28;Seguradora Especializada Em Saúde;5980.00;737469.26
"006";"2023";22;Cooperativa Médica;13735.00;3578070.50
"006";"2023";24;Autogestão;930.00;315300.25
"006";"2023";25;Medicina De Grupo;3203.00;567631.64
"006";"2023";27;Filantropia;205.00;99515.43
