"cd_procedimento";"ano_realizacao";"n_procedimento";"custo_procedimento"
"001";"2023";204049.00;13069167.57
"001";"2024";196521.01;12271467.09
"002";"2023";17123.70;3698401.99
"002";"2024";20028.00;4156781.49
"003";"2023";5629.00;450963.88
"003";"2024";6612.00;531378.55
"004";"2023";150774.00;5885239.10
"004";"2024";138695.00;6086704.86
"005";"2023";37209.00;5549933.43
"005";"2024";32891.00;5087830.93
"006";"2023";18148.00;4589813.11
"006";"2024";24437.00;6716827.90
"007";"2023";16482.00;377716.40
"007";"2024";14271.00;388134.27
"008";"2023";1730.00;798749.76
"008";"2024";1541.00;863393.75
"009";"2023";4888278.00;105337313.04
"009";"2024";4265276.10;100967875.05
"010";"2023";1862.00;1077315.12
"010";"2024";1677.00;1348780.61
"011";"2023";4715.00;288212.58
"011";"2024";1718.00;222955.32
"012";"2023";4130.00;875585.90
"012";"2024";4440.00;883375.63
"013";"2023";787940.27;59418990.36
"013";"2024";684729.59;48339043.33
"014";"2023";1165.00;160873.30
"014";"2024";2598.00;214424.71
"015";"2023";1021.00;75649.21
"015";"2024";270.00;24286.56
"016";"2023";27541.00;2168191.42
"016";"2024";29911.00;2594114.93
"017";"2023";13053.00;680680.46
"017";"2024";10392.00;540368.36
"018";"2023";55083.00;2334273.40
"018";"2024";54834.00;2819393.89
"019";"2023";81956.00;5509081.18
"019";"2024";112747.00;10280776.85
"020";"2023";13708.00;1225552.81
"020";"2024";28056.00;2519694.98
"021";"2023";471.00;1634167.73
"021";"2024";111.00;1695835.06
"022";"2023";4951.00;319134.54
"022";"2024";5399.00;507598.21
"023";"2023";27165.00;12290868.59
"023";"2024";23695.00;10103297.97
"024";"2023";9.00;6461.71
"024";"2024";7.00;4367.17
"025";"2023";32632.00;9515582.08
"025";"2024";27874.00;8372913.88
"026";"2023";2.00;610.47
"026";"2024";2.00;600.00
"027";"2023";166674.00;15936166.23
"027";"2024";151920.00;15351390.40
"028";"2023";728.00;89975.02
"028";"2024";1389.00;144821.58
"029";"2023";3279588.19;52071239.34
"029";"2024";2806929.26;50014699.73
"030";"2023";14685601.16;181844344.22
"030";"2024";13520186.63;176706888.70
"031";"2023";753027.27;57058415.87
"031";"2024";856972.06;85470785.90
"10101012";"2023";21411293.14;1927044331.37
"10101012";"2024";16949363.35;1667295481.83
"10101039";"2023";4031040.71;426079010.89
"10101039";"2024";3082603.00;385671030.91
"10106014";"2023";6267.00;1104194.86
"10106014";"2024";4599.00;748885.13
"10106030";"2023";289.00;62875.86
"10106030";"2024";76.00;27885.26
"10106049";"2023";687.00;68555.04
"10106049";"2024";88.00;8167.39
"10106090";"2023";398.00;398901.25
"10106090";"2024";5.00;155.31
"10106146";"2023";220223.02;32034663.74
"10106146";"2024";113018.00;16356253.13
"20101023";"2023";409.00;9468.28
"20101023";"2024";1140.00;14932.51
"20101074";"2023";14320.00;1591809.26
"20101074";"2024";16259.00;2113043.88
"20101082";"2023";270.00;23585.39
"20101082";"2024";1.00;500.00
"20101090";"2023";2653.00;238696.10
"20101090";"2024";901.00;80061.08
"20101104";"2023";34524.00;1325731.75
"20101104";"2024";25200.00;887266.28
"20101201";"2023";6096.00;1073958.75
"20101201";"2024";4223.20;904112.72
"20101236";"2023";6917.00;1023697.33
"20101236";"2024";6647.00;911180.98
"20102011";"2023";74957.00;8241904.63
"20102011";"2024";61650.00;7324963.61
"20102020";"2023";126292.01;18401646.15
"20102020";"2024";99295.01;14464409.83
"20102038";"2023";258109.01;32713528.23
"20102038";"2024";202471.02;27046420.09
"20102070";"2023";1562.00;581895.33
"20102070";"2024";1013.00;478593.73
"20103018";"2023";1012.00;51334.79
"20103018";"2024";814.00;59648.37
"20103026";"2023";4.00;66.16
"20103034";"2023";79.00;1237.63
"20103034";"2024";69.00;1161.58
"20103042";"2023";109.00;1909.17
"20103042";"2024";12.00;182.87
"20103050";"2023";216.00;2631.00
"20103050";"2024";127.00;1455.38
"20103069";"2023";1659.00;30044.14
"20103069";"2024";260.00;4748.62
"20103077";"2023";1454.00;49103.10
"20103077";"2024";115.00;7021.16
"20103093";"2023";155104.02;2941705.78
"20103093";"2024";145815.00;1973617.79
"20103107";"2023";2334.00;125308.95
"20103107";"2024";443.00;47879.48
"20103131";"2023";64251.00;3098867.33
"20103131";"2024";53844.00;2660894.85
"20103140";"2023";23582.00;3563229.90
"20103140";"2024";17738.00;3114045.23
"20103182";"2023";82197.00;1837821.24
"20103182";"2024";58478.00;1377880.59
"20103190";"2023";16478.00;304101.73
"20103190";"2024";12639.00;183822.02
"20103204";"2023";638.00;12888.67
"20103204";"2024";217.00;11470.10
"20103212";"2023";15624.00;407390.99
"20103212";"2024";4867.00;180942.65
"20103220";"2023";116693.00;2400078.07
"20103220";"2024";75300.00;1549894.44
"20103239";"2023";15113.00;495748.90
"20103239";"2024";13281.00;480507.73
"20103247";"2023";618.00;12516.89
"20103247";"2024";283.00;8087.20
"20103255";"2023";2985.00;52410.66
"20103255";"2024";1105.00;24448.13
"20103263";"2023";10427.00;314832.83
"20103263";"2024";6155.00;126475.26
"20103271";"2023";1661.00;64011.74
"20103271";"2024";587.00;30233.60
"20103280";"2023";2779.00;92680.71
"20103280";"2024";2708.00;61526.49
"20103298";"2023";892.00;14042.99
"20103298";"2024";90.00;2960.57
"20103301";"2023";125764.00;12061810.69
"20103301";"2024";84370.00;8897292.67
"20103310";"2023";32672.00;946982.75
"20103310";"2024";20975.00;1034236.79
"20103328";"2023";11313.00;303915.05
"20103328";"2024";5456.00;180544.36
"20103344";"2023";160860.00;3145503.56
