cd_procedimento;nm_procedimento
10101012;Consulta em consultório (no horário normal ou preestabelecido)
10101039;Consulta em pronto socorro
10106014;Aconselhamento genético
10106030;Atendimento ao familiar do adolescente
10106049;Atendimento pediátrico a gestantes (3º trimestre)
10106090;Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8
10106146;Atendimento ambulatorial em puericultura
20101023;Análise da proporcionalidade cineantropométrica
20101074;Avaliação nutrológica (inclui consulta)
20101082;Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta)
20101090;Avaliação da composição corporal por antropometria (inclui consulta)
20101104;Avaliação da composição corporal por bioimpedanciometria
20101201;Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador
20101236;Avaliação geriátrica ampla - AGA
20102011;Holter de 24 horas - 2 ou mais canais - analógico
20102020;Holter de 24 horas - 3 canais - digital
20102038;Monitorização ambulatorial da pressão arterial - MAPA (24 horas)
20102070;Tilt teste
20103018;Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular
20103026;Amputação bilateral (preparação do coto)
20103034;Amputação bilateral (treinamento protético)
20103042;Amputação unilateral (preparação do coto)
20103050;Amputação unilateral (treinamento protético)
20103069;Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas
20103077;Ataxias
20103093;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas
20103093;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas
20103107;Atendimento fisiátrico no pré e pós-parto
20103131;Biofeedback com EMG
20103140;Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal
20103182;Desvios posturais da coluna vertebral
20103190;Disfunção vésico-uretral
20103204;Distrofia simpático-reflexa
20103212;Distúrbios circulatórios artério-venosos e linfáticos
20103220;Doenças pulmonares atendidas em ambulatório
20103239;Exercícios de ortóptica (por sessão)
20103247;Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva
20103255;Exercícios para reabilitação do asmático (ERAI) - por sessão individual
20103263;Hemiparesia
20103271;Hemiplegia
20103280;Hemiplegia e hemiparesia com afasia
20103298;Hipo ou agenesia de membros
20103301;Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo)
20103310;Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras
20103328;Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras
20103344;Miopatias
20103360;Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória
20103379;Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três vezes por semana
20103387;Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas
20103395;Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de programa
20103409;Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar
20103417;Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto risco, atendido em ambulatório, duas a três vezes por semana
20103425;Paralisia cerebral
20103433;Paralisia cerebral com distúrbio de comunicação
20103441;Paraparesia/tetraparesia
20103450;Paraplegia e tetraplegia
20103468;Parkinson
20103476;Patologia neurológica com dependência de atividades da vida diária
20103476;Patologia neurológica com dependência de atividades da vida diária
20103484;Patologia osteomioarticular em um membro
20103492;Patologia osteomioarticular em dois ou mais membros
20103506;Patologia osteomioarticular em um segmento da coluna
20103514;Patologia osteomioarticular em diferentes segmentos da coluna
20103522;Patologias osteomioarticulares com dependência de atividades da vida diária
20103530;Recuperação funcional pós-operatória ou por imobilização da patologia vertebral
20103565;Processos inflamatórios pélvicos
20103611;Queimados - seguimento ambulatorial para prevenção de sequelas (por segmento)
20103620;Reabilitação de paciente com endoprótese
20103638;Reabilitação labiríntica (por sessão)
20103646;Reabilitação perineal com biofeedback
20103654;Recuperação funcional de distúrbios crânio-faciais
20103662;Recuperação funcional pós-operatória ou pós-imobilização gessada de patologia osteomioarticular com complicações neurovasculares afetando um membro
20103670;Recuperação funcional pós-operatória ou pós-imobilização gessada de patologia osteomioarticular com complicações neurovasculares afetando mais de um membro
20103689;Retardo do desenvolvimento psicomotor
20103697;Sequelas de traumatismos torácicos e abdominais
20103700;Sequelas em politraumatizados (em diferentes segmentos)
20103719;Sinusites
20103727;Reabilitação cardíaca supervisionada. Programa de 12 semanas. Duas a três sessões por semana (por sessão)
20103743;Exercícios de pleóptica
20104014;Actinoterapia (por sessão)
20104022;Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para
20104049;Cateterismo vesical em retenção urinária
20104057;Cauterização química vesical
20104065;Cerumen - remoção (bilateral)
20104073;Crioterapia (grupo de até 5 lesões)
20104081;Curativos em geral com anestesia, exceto queimados
20104090;Curativo de extremidades de origem vascular
20104103;Curativos em geral sem anestesia, exceto queimados
20104111;Dilatação uretral (sessão)
20104120;Fototerapia com UVA (PUVA) (por sessão)
20104138;Imunoterapia específica - 30 dias - planejamento técnico
20104146;Imunoterapia inespecífica - 30 dias - planejamento técnico
20104154;Instilação vesical ou uretral
20104200;Sessão de psicoterapia de grupo (por paciente)
20104219;Sessão de psicoterapia individual
20104227;Sessão de psicoterapia infantil
20104235;Terapia inalatória - por nebulização
20104243;Terapia oncológica com altas doses - planejamento e 1º dia de tratamento
20104251;Terapia oncológica com altas doses - por dia subsequente de tratamento
20104278;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento
20104286;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - por dia subsequente de tratamento
20104294;Terapia oncológica - planejamento e 1º dia de tratamento
20104308;Terapia oncológica - por dia subsequente de tratamento
20104316;Curativo de ouvido (cada)
20104324;Curativo oftalmológico
20104332;Bota de Unna - confecção
20104383;Pulsoterapia intravenosa (por sessão) - ambulatorial
20104391;Terapia imunobiológica intravenosa (por sessão) - ambulatorial
20104421;Terapia imunobiológica subcutânea (por sessão) ambulatorial
20104430;Terapia antineoplásica oral para tratamento do câncer
